Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
147115,309914056,40.8227,35.4641,3.64074,19.888,35.6505,0.532355,0.102301,-1.0,49.9732,-49.5801,-4.68079,4.14924,49.8006,0.0832209,-3.04746,1,86.4046
147115,257677287,3.27601,-2.03933,-2.12952,1.42777,2.94851,0.467065,-2.33456,,176.761,2.50602,34.8901,173.265,34.98,2.30323,1.49909,1,28.674
147115,503555279,16.2053,-1.22386,-2.76871,15.92,3.02714,2.36203,-1.98701,-1.0,122.508,25.031,0.049252,-119.923,25.0311,-2.2706,0.00196764,1,88.6028
147115,409779247,71.7997,19.0928,-3.47732,69.1272,19.4069,1.98261,-0.180153,1.0,9.17336,-0.83483,2.30318,-8.84019,2.44981,-1.99511,1.91854,-1,50.8663
147115,212350395,44.8044,-21.0683,-20.6063,33.7482,29.4702,0.980389,-2.36728,-1.0,2.46171,1.1925,2.13437,-0.287095,2.44491,-0.117158,1.06129,-1,19.4468
147115,512165614,38.0319,18.0362,5.88778,-32.9614,18.9728,-1.31958,0.315537,-1.0,4.81224,-2.78136,0.0880859,-3.92605,2.78275,-1.14427,3.10993,-1,14.3706
147115,412969641,3.53101,-2.02423,1.57824,-2.42481,2.56678,-0.841717,2.47937,-1.0,15.8521,10.0491,-8.92796,-8.40219,13.4422,-0.590196,-0.72639,1,11.8349
147115,303775763,58.3859,15.2314,-1.37206,56.3474,15.293,2.01521,-0.0898384,-1.0,18.2841,-6.43243,1.24707,17.0698,6.5522,1.68561,2.9501,-1,20.2673
147115,512382350,50.4602,31.584,-31.1823,-24.0071,44.3834,-0.517494,-0.778999,-1.0,111.503,-21.9224,21.4365,-107.205,30.6613,-1.96474,2.3674,1,93.9536
147115,413735060,4.64897,-1.39573,2.62147,3.5767,2.96988,1.01874,2.06005,-1.0,7.29189,3.71184,1.75748,6.02537,4.10688,1.1764,0.442208,-1,5.08378
147115,292767097,23.9674,15.5126,15.5726,9.55458,21.9806,0.422041,0.787328,-1.0,11.1876,-2.70128,-1.54887,-10.7456,3.11383,-1.95215,-2.62097,1,29.5578
147115,254869079,14.3734,3.97764,-11.9926,-6.85218,12.635,-0.518737,-1.25054,1.0,2.17904,-0.118585,-2.17183,-0.131555,2.17506,-0.0604464,-1.62534,-1,3.11279
147115,312566554,1.17858,0.258048,-0.661175,0.940907,0.709747,1.09402,-1.19869,1.0,80.7441,19.9155,10.6856,77.5165,22.6011,1.94624,0.492456,-1,6.95026
147115,220316371,35.4962,-14.9893,22.3026,23.1926,26.8716,0.781177,2.16254,-1.0,9.18607,-2.40751,-2.02041,8.63167,3.14295,1.73503,-2.44339,1,16.4228
147115,296857550,14.1993,-2.50501,0.984865,13.9418,2.69166,2.34707,2.767,-1.0,22.4888,-0.48816,18.3708,-12.9623,18.3772,-0.657041,1.59736,1,31.0073
147115,402390705,18.244,-2.21052,-17.6663,-3.98255,17.8041,-0.221863,-1.69528,1.0,17.703,-4.82602,-1.18714,-16.991,4.96988,-1.94317,-2.90039,-1,21.1502
147115,312771796,81.9108,12.3844,-8.35926,-80.5366,14.9415,-2.38621,-0.59374,1.0,11.4238,2.55157,-1.69058,-11.0062,3.06082,-1.99172,-0.585158,-1,2.68566
147115,125889378,2.37699,2.33578,0.343718,0.275831,2.36094,0.116567,0.146105,-1.0,45.4112,-27.7797,3.47789,-35.7543,27.9966,-1.06441,3.01705,1,19.0524
147115,215883828,3.33603,2.04117,-2.50118,-0.840719,3.22836,-0.25756,-0.886325,1.0,218.723,33.9754,25.8914,-214.511,42.7164,-2.3167,0.651177,-1,33.007
147115,305901075,1.27424,0.0702458,0.947027,-0.849642,0.949629,-0.804929,1.49676,-1.0,41.5287,5.813,-18.3504,-36.7981,19.2491,-1.40342,-1.26402,1,8.78889
147115,219182277,8.7257,-1.98471,-1.55899,-8.35274,2.52379,-1.91205,-2.47576,-1.0,65.3175,13.9317,4.84153,63.6306,14.749,2.16824,0.334463,-1,47.6787
147115,431676868,15.8533,0.184246,-3.99279,-15.3411,3.99704,-2.05469,-1.52468,-1.0,48.5177,3.8939,22.829,42.6338,23.1587,1.37015,1.40185,1,55.0209
147115,204424920,2.92363,-2.74975,0.747787,-0.65365,2.84962,-0.227416,2.87607,-1.0,117.202,-17.473,15.5908,114.839,23.4175,2.29343,2.41306,-1,26.7587
147115,465190963,14.7812,0.485119,-12.6261,-7.67005,12.6355,-0.57484,-1.53239,-1.0,0.834194,0.269459,0.631281,0.474084,0.686384,0.64503,1.16736,1,6.90023
147115,620133662,53.8953,17.3889,10.7773,-49.8616,20.4578,-1.62368,0.554836,1.0,138.775,-27.4511,-21.1448,-134.38,34.6507,-2.06472,-2.48524,-1,54.4826
147115,289949887,11.735,1.69785,3.98896,-10.9048,4.33526,-1.65293,1.16839,-1.0,46.6042,0.605312,-7.82836,45.938,7.85173,2.46693,-1.49363,-1,46.4337
147115,199907747,18.9135,9.59094,-6.87538,14.7806,11.8007,1.04916,,1.0,9.14825,1.5807,2.09125,-8.76462,2.62144,-1.9218,0.923553,-1,24.5678
147115,559014377,9.19016,3.31636,-0.506837,-8.55593,3.35487,-1.66575,-0.151656,1.0,12.8011,2.80283,-2.4081,-12.2562,3.69524,-1.91412,-0.709793,-1,2.12869
147115,484625878,16.6169,-14.4899,-8.05366,1.14154,16.5777,0.0688057,-2.6343,-1.0,3.33521,1.90951,0.838371,-2.60279,2.08545,-1.04639,0.413711,1,13.6244
147115,393778470,135.742,-16.2315,24.8556,-132.456,29.6861,-2.20105,2.1493,-1.0,20.8878,-0.973082,-3.56159,20.5589,3.69213,2.41821,-1.8375,-1,106.125
147115,208609113,11.2024,-0.859688,-2.00089,10.9887,2.17775,2.3214,-1.9766,1.0,68.2438,11.4162,34.0698,58.0185,35.9316,1.25675,1.24747,1,20.2451
147115,499865363,3.34923,0.15724,2.46171,2.26553,2.46673,0.822507,1.50701,1.0,118.799,12.3995,-13.3899,117.389,18.2493,2.56051,-0.823784,1,18.0528
147115,336735528,15.8617,-12.5609,0.257955,9.68244,12.5636,0.709606,3.12106,-1.0,114.417,18.6315,8.73953,112.551,20.5794,2.40052,0.438602,-1,43.7459
147115,504874700,3.68314,2.19743,0.258366,2.94451,2.21256,1.0971,0.117039,1.0,108.222,-3.90265,18.8434,106.498,19.2433,2.41217,1.77502,1,13.3208
147115,272034037,23.682,-14.3172,-2.97733,-18.6277,14.6235,-1.06239,-2.93656,-1.0,22.04,4.32472,-0.297948,21.6095,4.33497,2.30948,-0.0687855,1,44.3963
147115,483932058,63.5336,7.12026,-10.4902,-62.2557,12.6784,-2.29471,-0.974471,-1.0,17.1175,-5.08238,-3.25721,16.0177,6.03656,1.70276,-2.57165,1,64.6026
147115,373103404,88.7667,1.44086,17.4747,87.0178,17.534,2.30512,1.48853,-1.0,13.2382,-0.825969,-3.16915,12.8267,3.27502,2.07427,-1.82575,-1,15.2007
147115,500579834,2.62781,-2.28853,-1.08348,-0.702912,2.53205,-0.274158,-2.69942,-1.0,31.0106,8.33918,11.9851,27.3582,14.6009,1.3857,0.962898,-1,16.2966
147115,259782829,54.0481,1.42167,-14.2133,-52.1264,14.2842,-2.00593,-1.4711,1.0,44.6032,7.2806,1.7959,-43.9683,7.49883,-2.46906,0.241842,-1,16.3697
147115,282877916,3.58475,-1.84662,1.71425,-2.54986,2.51965,-0.889826,2.39335,-1.0,67.7659,11.7304,-11.0264,-65.8258,16.0992,-2.11602,-0.754472,-1,15.2079
147115,454692403,20.8303,19.3847,-7.62013,0.263526,20.8286,0.0126518,-0.374545,1.0,4.30003,-2.71009,3.13434,-1.14959,4.14351,-0.274003,2.28373,1,18.2369
147115,75451041,5.45196,-2.85648,4.37763,1.54946,5.22715,0.292247,2.14894,-1.0,66.2433,15.7888,-3.49529,-64.2392,16.1711,-2.08801,-0.217864,-1,32.2829
147115,412304479,11.0718,-2.1825,-3.43131,10.2979,4.06659,1.65917,-2.13731,-1.0,97.2186,-5.68058,-14.6246,95.9443,15.6891,2.51057,-1.94129,1,7.18014
147115,293303366,6.6893,-2.39446,4.88532,3.8919,5.44057,0.665195,2.02652,-1.0,41.3122,-5.39342,-18.9488,-36.3119,19.7014,-1.37119,-1.84809,1,31.5382
147115,561748489,2.53566,0.351155,-2.50332,0.199064,2.52783,0.0786677,-1.43143,-1.0,61.6797,1.13788,17.7312,59.0652,17.7676,1.9163,1.50671,1,19.4231
147115,501692958,7.23415,2.92544,5.40845,3.81096,6.14895,0.585707,1.07496,1.0,9.44089,-2.56449,-1.43663,8.97161,2.93948,1.8348,-2.63095,-1,9.93767
147115,216685443,22.2271,1.30137,14.9352,-16.4101,14.9918,-0.946714,1.48388,-1.0,2.50849,-1.67775,-1.47347,1.14307,2.23292,0.491845,-2.42093,-1,14.0502
147115,298218113,135.363,6.61767,-28.4028,132.184,29.1636,2.21638,-1.34189,-1.0,8.02177,-0.83059,6.4271,-4.72773,6.48055,-0.676688,1.69932,-1,61.6251
147115,76426109,15.6692,4.85409,-0.419561,14.8925,4.87219,1.8362,-0.0862203,1.0,88.0799,-13.796,-1.76478,-86.9748,13.9084,-2.53261,-3.01436,-1,74.0492
147115,453657343,15.8319,-4.71302,-2.0696,14.9718,5.14741,1.78914,-2.72782,1.0,106.137,9.73634,-16.4892,-104.395,19.1491,-2.39738,-1.03742,1,80.6858
147115,466720356,77.982,-15.779,-10.5735,-75.6334,18.9941,-2.09032,-2.55122,1.0,20.4727,-4.61006,0.264147,-19.9451,4.61762,-2.16939,3.08436,-1,6.00547
147115,301657479,4.56149,0.63313,-4.24104,-1.55562,4.28804,-0.355261,-1.4226,-1.0,50.0635,-15.9213,8.59547,46.6796,18.0934,1.67651,2.64656,-1,26.3634
147115,281447192,3.40828,-2.49894,1.29964,-1.91901,2.8167,-0.637277,2.66201,-1.0,10.5323,-2.74212,1.24716,-10.0923,3.01241,-1.92374,2.71474,-1,4.01412
147115,369319342,53.9398,-13.0516,26.6081,-45.0685,29.6367,-1.20619,2.02683,1.0,11.1908,1.44228,-2.25771,-10.8654,2.67907,-2.10813,-1.00232,-1,19.6388
147115,305140494,2.00356,-0.849592,1.71686,0.587233,1.91557,0.301948,2.03032,-1.0,85.5038,4.85588,13.5408,-84.285,14.3851,-2.46836,1.22647,-1,20.0841
147115,505832293,50.5605,39.1448,18.4574,-26.1413,43.2781,-0.572278,0.440601,-1.0,59.0974,-46.3269,-11.542,-34.8297,47.743,-0.676686,-2.89742,1,90.5979
147115,482625428,69.0897,-19.2264,15.6819,-64.4811,24.8108,-1.68335,2.45739,-1.0,15.0281,2.3025,-3.95021,14.3156,4.57227,1.85907,-1.04306,1,64.3053
147115,336993069,103.956,1.47741,16.7244,-102.591,16.7895,-2.50977,1.48269,-1.0,7.52037,-0.883703,-2.35806,7.08622,2.51821,1.75792,-1.92935,1,55.6689
147115,246197988,9.25272,-2.06299,7.62246,-4.82235,7.8967,-0.577961,1.83511,1.0,4.01525,-3.0303,2.45272,0.961092,3.89853,0.244096,2.46115,-1,5.80336
147115,489666207,10.6298,-9.97299,0.543218,-3.63831,9.98777,-0.356666,3.08718,-1.0,98.3872,17.4923,-2.59575,96.7849,17.6838,2.40123,-0.147319,-1,56.104
147115,82600337,26.6959,0.0692227,14.7945,-22.2214,14.7946,-1.19587,1.56612,1.0,33.3933,5.84837,-7.38676,-32.0366,9.42166,-1.93797,-0.901114,-1,24.0185
147115,467619774,8.91612,-2.78263,0.754509,8.43711,2.88311,1.79491,2.87681,-1.0,9.93268,4.56832,3.71992,-7.99692,5.89129,-1.11298,0.683391,-1,18.2174
147115,425940356,7.98267,3.63841,-0.0848169,7.10477,3.6394,1.42204,-0.0233073,-1.0,90.4465,11.3338,21.1192,-87.2129,23.9682,-2.00314,1.07825,-1,51.0331
147115,246469431,25.9952,13.9122,8.85161,-20.096,16.4894,-1.0279,0.566646,1.0,20.1614,-7.85793,-9.13135,16.1665,12.0469,1.10378,-2.28138,1,45.588
147115,198517339,81.5047,-15.9785,1.41303,-79.9106,16.0408,-2.30884,3.05339,1.0,7.95855,-2.52392,0.78628,-7.50668,2.64356,-1.76647,2.83959,1,3.83594
147115,372088937,13.9912,4.79787,-10.5688,-7.81252,11.6069,-0.630485,-1.14465,1.0,12.4775,1.05175,-9.89495,-7.52799,9.95069,-0.698363,-1.4649,-1,3.50385
147115,336763945,12.7528,-0.0867807,10.5482,-7.16677,10.5485,-0.635718,1.57902,-1.0,11.9954,5.25595,7.16026,8.062,8.88225,0.814544,0.937585,-1,16.4731
147115,185671665,3.75373,1.73092,3.18541,-0.973426,3.62532,-0.265382,1.07304,-1.0,111.042,-14.3406,12.6586,109.382,19.1283,2.44438,2.41841,1,31.8684
147115,253639124,67.3236,-0.492898,-11.3822,66.3526,11.3929,2.46243,-1.61407,-1.0,16.9616,7.6631,1.41013,-15.0659,7.79176,-1.41353,0.181979,-1,65.7481
147115,502279962,2.03209,0.971841,-1.76155,-0.286055,2.01185,-0.14171,-1.06665,-1.0,23.9608,-20.5149,0.631892,12.3637,20.5246,0.570868,3.1108,1,12.106
147115,429450070,29.9426,5.68838,-21.4143,20.1401,22.157,0.815523,-1.31116,1.0,53.6551,11.6138,18.8546,-48.8722,22.1445,-1.53254,1.01872,-1,76.5318
147115,264497418,12.4959,2.64005,-3.64078,-11.6585,4.49723,-1.681,-0.943401,-1.0,60.0467,-10.0071,11.6166,-58.0562,15.3325,-2.04158,2.2819,1,16.864
147115,370376188,13.3506,7.82447,-1.6444,-10.6917,7.9954,-1.10095,,-1.0,111.19,7.72193,15.4555,-109.84,17.2772,-2.54891,1.10745,1,23.4554
147115,429645857,2.42464,0.652169,-1.41191,-1.86012,1.55526,-1.01342,-1.13809,-1.0,61.9056,1.54284,17.9565,-59.2241,18.0227,-1.90523,1.48509,-1,11.3386
147115,16173326,3.47274,2.87749,0.695387,1.8156,2.96032,0.580204,0.237118,1.0,83.1876,4.24322,17.8233,-81.145,18.3215,-2.19382,1.33708,1,28.6919
147115,561700981,6.21173,-2.98304,-5.36435,-0.954379,6.13798,-0.154868,-2.0783,1.0,94.6178,6.3391,15.0411,93.1993,16.3223,2.44294,1.17193,1,39.4026
147115,366523212,61.4504,2.95284,-14.6227,-59.6121,14.9179,-2.09375,-1.37154,-1.0,13.8871,-0.277757,-2.4256,-13.6708,2.44145,-2.4237,-1.68481,-1,2.74718
147115,466454472,5.93038,-2.94733,5.14468,0.122138,5.92912,0.0205983,2.09104,1.0,36.1951,15.0187,-9.24562,31.6077,17.6364,1.34664,-0.551816,1,24.6017
147115,311330125,79.9772,-0.107722,-14.5692,78.6389,14.5696,2.38755,-1.57819,-1.0,11.0831,0.549391,-2.01052,-10.8854,2.08423,-2.35521,-1.30405,-1,58.5352
147115,294376956,38.1192,16.328,-7.88871,33.5296,18.1339,1.37399,-0.450068,1.0,2.4737,-1.41759,2.02291,-0.132153,2.47017,-0.0534741,2.18204,1,16.6031
147115,308822813,21.3772,-3.60395,-18.9415,9.23107,19.2813,0.462131,-1.75882,1.0,38.5028,-6.13139,-7.07863,-37.3466,9.36488,-2.09178,-2.28461,1,44.9812
147115,462894130,90.6651,-21.4995,22.954,-85.0356,31.4502,-1.72038,2.32349,-1.0,83.9511,-22.1967,23.0425,-77.6153,31.9945,-1.61935,2.3375,1,3.23639
147115,512128785,12.2226,-8.75419,-8.51544,0.493034,12.2126,0.0403599,-2.37002,-1.0,8.97768,0.0981621,2.45985,-8.63355,2.46181,-1.96764,1.53091,-1,16.4799
147115,112650432,23.9641,-2.20503,3.25055,-23.64,3.92788,-2.49482,2.16685,-1.0,92.186,14.2959,-18.3682,-89.1992,23.2758,-2.05321,-0.90943,-1,19.5814
147115,514530695,2.44261,-1.56416,1.11762,1.50687,1.92241,0.720003,2.52119,-1.0,104.978,12.2824,15.0952,-103.159,19.4608,-2.3698,0.88778,1,28.7822
147115,389419967,5.58331,-0.949159,-5.30726,1.451,5.39147,0.265981,-1.74777,1.0,144.817,8.39889,24.6047,-142.464,25.9987,-2.40241,1.24185,-1,48.0381
147115,256272887,8.66845,1.92734,0.564288,-8.43262,2.00825,-2.14188,0.28482,-1.0,2.36148,1.58764,0.486578,-1.67906,1.66053,-0.889243,0.29739,1,2.4401
147115,283746784,50.6365,28.8388,23.1006,34.6228,36.9501,0.836127,0.675367,1.0,11.0197,-3.20556,-2.75056,-10.1781,4.22388,-1.61314,-2.43244,-1,46.1818
147115,285738795,7.47677,-6.43854,1.5318,-3.47863,6.61825,-0.504002,2.90802,1.0,48.6065,14.0661,3.57386,46.3893,14.513,1.87879,0.248812,-1,34.9251
147115,507924526,23.8517,13.4215,14.4642,13.3998,19.7319,0.635452,0.822769,-1.0,35.9364,-4.87121,-4.72133,-35.2903,6.78377,-2.35133,-2.37182,1,54.1053
147115,247289727,43.452,-0.698857,14.7336,40.8718,14.7502,1.74341,1.61819,-1.0,62.4999,4.32881,-20.3895,-58.9217,20.8439,-1.7622,-1.3616,1,104.187
147115,237677244,8.411,-1.68363,7.07027,-4.23339,7.26797,-0.553737,1.80457,1.0,39.7084,-2.76625,-18.5015,-35.0257,18.7072,-1.38503,-1.71921,-1,24.9745
147115,484142731,16.1988,-13.4423,-5.70431,-7.01193,14.6026,-0.463418,-2.74027,-1.0,16.923,2.51345,4.09394,-16.2269,4.80393,-1.93161,1.02019,-1,20.8563
147115,178245326,16.7063,-11.5382,-10.7198,-5.57303,15.7494,-0.34686,-2.39295,1.0,7.22333,2.69428,2.24227,6.31582,3.50527,1.35132,0.694088,-1,20.5425
147115,390751885,53.6395,11.3075,12.8336,-50.8393,17.1044,-1.80965,0.848532,1.0,,5.06572,-15.2214,8.84154,16.0422,0.526482,-1.24952,1,56.0374
147115,464644780,3.01489,-1.54169,1.17286,2.31023,1.93711,1.01124,2.49124,1.0,64.4323,-13.5124,9.70871,62.2469,16.6387,2.02993,2.51856,-1,6.03864
147115,468009346,122.742,16.7464,8.84389,-121.272,18.9382,-2.55604,0.48588,1.0,22.6848,-4.27572,-0.381261,22.275,4.29269,2.34886,-3.05266,1,105.458
147115,550940397,5.01052,-3.89655,3.05578,0.764505,4.95186,0.153781,2.47654,-1.0,31.4511,-22.3004,-20.1524,9.25999,30.0571,0.303404,-2.40675,1,15.8237
147115,246330310,10.6768,-0.306735,3.83897,-9.95798,3.85121,-1.67859,1.65053,-1.0,95.7029,-7.76262,-17.4761,-93.773,19.1226,-2.29339,-1.9888,1,17.4766
147115,220037576,29.5028,-18.9093,-2.22672,22.5366,19.0399,1.00547,-3.02437,1.0,2.46699,1.18134,0.224607,2.15408,1.2025,1.34622,0.187887,1,9.70319
147115,163239418,80.4984,4.83168,11.8596,-79.4732,12.8061,-2.52508,1.18392,1.0,10.723,-5.66136,-3.49363,8.40988,6.65255,1.05641,-2.58869,-1,56.5744
147115,11093183,8.96296,-0.735672,-2.315,8.62753,2.42908,1.97985,-1.87849,-1.0,117.547,17.251,-12.9986,-115.545,21.6,-2.37874,-0.645736,1,63.7658
147115,267936974,13.2906,-2.73384,2.71002,12.721,3.84943,1.91062,2.36057,1.0,188.178,-14.0761,26.9189,185.71,30.377,2.51027,2.0526,-1,7.37066
147115,370734787,10.6889,-10.462,-0.821687,-2.03063,10.4942,-0.192312,-3.06321,1.0,13.3979,3.28464,0.493984,12.9796,3.32158,2.07207,0.149273,-1,20.2156
147115,466503061,64.7215,-7.33542,-15.6026,62.3829,17.2409,1.99773,-2.01027,1.0,36.5197,-11.7674,-0.978685,34.5581,11.808,1.795,-3.05861,-1,14.5732
147115,206635019,11.6186,6.24027,-3.57641,9.12467,7.19247,1.05919,-0.520419,1.0,71.1255,-4.47451,12.2792,-69.9145,13.069,-2.3788,1.92024,-1,55.4285
147115,526243259,22.0165,-13.5893,15.585,-7.56064,20.6776,-0.357951,2.28789,1.0,12.3701,4.26942,1.02601,-11.5646,4.39098,-1.69578,0.235843,-1,21.3044
147115,21255793,3.80133,-2.97032,0.764608,2.24558,3.06716,0.678796,2.88965,-1.0,52.7274,-7.35969,-16.6124,49.4979,18.1696,1.72743,-1.98783,1,12.6589
147115,483685082,33.9213,-10.2013,-32.1457,-3.6382,33.7256,-0.107668,-1.87809,-1.0,14.636,-3.19798,-1.33182,-14.2202,3.46422,-2.11984,-2.74698,-1,27.1772
147115,283691408,30.909,-13.1562,-20.8549,-18.6375,24.6579,-0.697815,-2.13359,-1.0,3.8982,-1.5134,-2.74287,2.31996,3.13269,0.685583,-2.07499,1,13.1617
147115,372781449,8.76258,0.665031,2.78227,-8.28249,2.86064,-1.78481,1.33617,1.0,24.0431,-12.7153,9.81592,17.8896,16.0633,0.959527,2.48417,1,26.0766
147115,82287709,2.70515,2.33814,-1.18131,-0.674867,2.61962,-0.254853,-0.467826,1.0,66.923,-7.85436,-8.89931,-65.862,11.8697,-2.41475,-2.2939,-1,16.9965
147115,463038098,10.9258,6.32138,-4.62898,-7.61487,7.83501,-0.861366,-0.632059,-1.0,37.981,-12.0413,1.44256,35.9928,12.1274,1.80824,3.02236,1,39.2899
147115,254549689,88.2942,-11.7402,-12.3563,-86.6334,17.0444,-2.32855,-2.33063,1.0,14.708,-1.58224,-4.26744,13.9861,4.55132,1.84127,-1.92585,1,69.8425
147115,264309607,3.02834,-0.0414875,-2.50181,-1.70588,2.50216,-0.637663,-1.58738,-1.0,45.9778,-11.3313,0.825515,44.552,11.3613,2.07546,3.06887,1,20.8246
147115,246494827,29.2823,5.79567,2.287,28.6117,6.23058,2.22914,0.375848,-1.0,89.4918,-8.96461,-15.7482,87.6379,18.121,2.27981,-2.0883,-1,20.051
147115,467035097,48.3071,4.50097,9.32812,-47.1838,10.3572,-2.22134,1.12123,1.0,6.00645,3.921,-0.656206,4.5025,3.97554,0.972068,-0.16582,1,31.3392
147115,559248758,2.55091,-1.14564,1.8818,-1.28587,2.2031,-0.554767,2.11766,-1.0,,16.1056,3.03009,78.3897,16.3881,2.26903,0.185966,1,25.2125
147115,11066876,45.1091,-16.7428,1.52427,-41.8591,16.8121,-1.64345,3.0508,1.0,14.7144,14.68,-0.323135,0.951199,14.6836,0.0647345,-0.0220083,-1,43.5855
147115,11182792,26.4028,16.3595,3.84107,20.3646,16.8044,1.02354,0.230614,-1.0,2.13128,-2.05698,-0.534218,-0.160688,2.12521,-0.0755384,-2.8875,-1,13.802
147115,281593530,4.28524,1.5524,-1.25743,-3.79107,1.99777,-1.3969,-0.680803,-1.0,70.5469,-15.4514,-15.3164,67.1083,21.7563,1.84485,-2.36058,1,33.5097
147115,408187025,22.1727,7.45535,-14.2675,15.2475,16.0979,0.843519,-1.08928,-1.0,32.905,12.8917,10.0274,-28.5657,16.3323,-1.32541,0.661069,-1,49.2362
147115,288581294,90.4351,14.1687,10.5942,-88.6878,17.6915,-2.31499,0.642039,-1.0,1.74939,-0.175263,1.31533,1.13998,1.32695,0.778151,1.70326,1,22.2646
147115,273964569,5.49527,-2.92258,2.116,-4.14476,3.60817,-0.982723,2.51493,-1.0,9.08598,2.42234,-0.934359,8.70714,2.5963,1.92472,-0.36814,-1,13.7895
147115,525483984,56.5014,-8.69138,9.06513,55.088,12.5585,2.18443,2.33515,-1.0,2.84201,0.686461,-1.94816,1.95204,2.06556,0.841974,-1.23202,1,12.383
147115,112217997,8.02588,2.06865,-1.52549,-7.60318,2.5703,-1.80511,-0.63541,1.0,20.9993,4.02448,-20.6072,0.344733,20.9965,0.0164179,-1.37793,1,16.211
147115,284895236,13.4737,-11.8338,1.99602,6.12522,12.0009,0.49049,2.97449,-1.0,7.63251,6.47844,1.72826,3.64666,6.705,0.520104,0.260699,1,17.5338
147115,501573890,25.8298,-15.2619,-7.63067,19.3915,17.0632,0.974646,-2.67796,-1.0,20.3651,-4.15354,-1.96694,-19.8397,4.59573,-2.16886,-2.69932,-1,40.8007
147115,287051559,25.7482,-15.8592,7.47128,18.8582,17.531,0.933908,2.70133,1.0,27.1606,7.85278,-7.65423,-24.8484,10.966,-1.55662,-0.772595,1,51.955
147115,431018708,19.9599,1.69036,-15.6406,12.2846,15.7316,0.717675,-1.46314,-1.0,19.3192,4.7591,-0.441892,-18.7187,4.77957,-2.07423,-0.0925864,-1,34.6585
147115,304168480,86.4368,-15.7456,16.6282,83.3481,22.9003,2.00338,2.32894,1.0,11.8971,-1.2961,3.81818,11.193,4.03217,1.7451,1.89805,-1,4.80355
147115,497346104,14.5827,4.9131,3.69777,-13.2229,6.14915,-1.50892,0.645184,1.0,61.1642,-23.4439,6.79999,-56.0821,24.4102,-1.56928,2.85929,1,21.9277
147115,212172271,61.2062,6.20704,-18.6065,57.9782,19.6145,1.8044,-1.24881,-1.0,13.2269,-2.75855,1.16008,12.8839,2.99256,2.16622,2.7435,-1,14.233
